Designator,Mid X,Mid Y,Rotation,Layer
C1,54.61,-43.16,90.0,top
C10,159.365,-53.721,0.0,top
C11,120.369003,-65.405,0.0,top
C12,108.986,-65.405,0.0,top
C13,144.520499,-65.405,0.0,top
C14,133.786499,-65.405,0.0,top
C15,168.89,-65.405,0.0,top
C16,158.984,-65.405,0.0,top
C17,85.745,-52.07,0.0,top
C18,130.195,-100.076,0.0,top
C19,150.515,-100.076,0.0,top
C2,86.836,-82.697,90.0,top
C20,151.13,-104.628,90.0,top
C3,70.961,-82.697,90.0,top
C4,125.85188347648318,-54.99611652351682,45.0,top
C5,73.005,-94.615,0.0,top
C6,147.0345,-53.721,0.0,top
C7,134.219,-53.721,0.0,top
C8,159.472,-42.672,0.0,top
C9,170.541,-53.721,0.0,top
D1,43.815,-52.07,0.0,top
D2,53.975,-73.66,0.0,top
D3,53.975,-81.28,0.0,top
D4,43.815,-73.66,0.0,top
D5,43.815,-81.28,0.0,top
J1,53.6116,-111.73,180.0,top
J2,88.9,-43.815,90.0,top
J3,69.215,-43.815,90.0,top
J4,193.04,-59.69,0.0,top
J5,193.04,-109.22,0.0,top
J6,180.34,-66.04,0.0,top
J7,143.256,-42.291,0.0,top
J8,147.574,-42.291,0.0,top
J9,151.892,-42.291,0.0,top
JP1,173.736,-67.31,180.0,top
JP2,100.711,-44.487,0.0,top
JP3,104.394,-44.487,0.0,top
JP4,85.725,-48.895,90.0,top
JP5,66.04,-48.895,90.0,top
R1,48.895,-52.07,90.0,top
R10,48.895,-73.66,90.0,top
R11,48.895,-81.28,90.0,top
R12,137.541,-41.021,180.0,top
R2,51.435,-52.07,270.0,top
R3,51.435,-43.18,270.0,top
R4,102.489,-56.515,0.0,top
R5,109.601,-56.515,0.0,top
R6,57.15,-58.42,0.0,top
R7,59.055,-73.66,90.0,top
R8,59.055,-81.28,90.0,top
R9,45.085,-58.42,0.0,top
RN1,87.63,-90.17,0.0,top
RN2,87.63,-94.615,0.0,top
SW1,45.16,-43.47,0.0,top
SW2,115.57,-43.942,90.0,top
SW3,45.16,-63.79,0.0,top
SW4,57.225,-63.79,0.0,top
U1,90.17,-115.0,0.0,top
U10,141.732,-70.6755,270.0,top
U11,166.4385,-70.728,270.0,top
U12,142.932,-58.719,270.0,top
U13,79.375,-66.498,0.0,top
U14,120.6495,-109.837,0.0,top
U15,139.7,-109.855,0.0,top
U16,164.465,-109.855,90.0,top
U17,137.922,-44.069,180.0,top
U2,119.4485,-58.719,270.0,top
U3,131.1225,-58.719,270.0,top
U4,104.5895,-70.728,270.0,top
U5,154.5005,-70.403,270.0,top
U6,166.4385,-58.719,270.0,top
U7,154.5005,-58.719,270.0,top
U8,115.854501,-70.403,270.0,top
U9,128.477499,-70.6755,270.0,top
Y1,106.018,-60.936,0.0,top
Y2,78.916,-82.857,0.0,top
